,date,team1,score1,team2,score2
492,2016-02-21,k1ck,16,Imp?rio Multim?dia,3
493,2016-02-21,k1ck,13,Imp?rio Multim?dia,16
494,2016-02-21,CLG,16,AGG,12
495,2016-02-21,CLG,16,AGG,3
496,2016-02-22,CLG,1,Liquid,16
497,2016-02-22,Liquid,16,CLG,4
498,2016-02-22,Tempo Storm,16,Cloud9,8
499,2016-02-22,Cloud9,16,Tempo Storm,10
500,2016-02-22,Cloud9,8,Tempo Storm,16
501,2016-02-22,compLexity,16,Vault,19
502,2016-02-22,compLexity,16,Vault,7
503,2016-02-22,Vault,10,compLexity,16
504,2016-02-22,Cloud9,12,CLG,16
505,2016-02-22,Cloud9,3,CLG,16
506,2016-02-22,DeToNator,4,Devcat,16
507,2016-02-22,DeToNator,10,Devcat,16
508,2016-02-22,dream[S]cape,16,Risky,3
509,2016-02-22,GIANT5,16,PhysX,6
510,2016-02-22,E-frag.net,16,Orgless,5
511,2016-02-22,Orgless,13,E-frag.net,16
512,2016-02-22,SK,16,PENTA,7
513,2016-02-22,PENTA,3,SK,16
514,2016-02-22,Binary Dragons,16,Empire,10
515,2016-02-22,Binary Dragons,3,Empire,16
516,2016-02-22,Binary Dragons,16,Empire,13
517,2016-02-22,Deathtrap,16,Pixel,13
518,2016-02-22,Platinium,16,LDLC White,13
519,2016-02-22,LDLC White,5,Platinium,16
520,2016-02-22,Pixel,16,PhysX,7
521,2016-02-22,GIANT5,9,Deathtrap,16
522,2016-02-22,SK,16,Epiphany Bolt,4
523,2016-02-22,SK,16,Epiphany Bolt,10
524,2016-02-22,GIANT5,11,Pixel,16
525,2016-02-22,WaRLegenD,12,Dead Pixels,16
526,2016-02-22,Dead Pixels,16,WaRLegenD,11
527,2016-02-22,PANTERS,8,E-frag.net,16
528,2016-02-22,PANTERS,19,E-frag.net,17
529,2016-02-23,ACE,3,OpTic,16
530,2016-02-23,OpTic,16,ACE,12
531,2016-02-23,Tempo Storm,7,Obey.Alliance,16
532,2016-02-23,Winterfox,16,NRG,11
533,2016-02-23,Winterfox,14,NRG,16
534,2016-02-23,Winterfox,6,NRG,16
535,2016-02-23,QuetzaL,16,Noble,10
536,2016-02-23,QuetzaL,14,Noble,16
537,2016-02-23,QuetzaL,16,Noble,9
538,2016-02-23,Threats,12,J2G,16
539,2016-02-23,ENCE,22,Vexed,18
540,2016-02-23,ENCE,16,Vexed,14
541,2016-02-23,nEophyte,16,Method,7
542,2016-02-23,Method,20,nEophyte,22
543,2016-02-23,CPH Wolves,16,Empire,7
544,2016-02-23,CPH Wolves,16,Empire,12
545,2016-02-23,iNation,16,aZ,14
546,2016-02-23,G2,16,mousesports,13
547,2016-02-23,ALTERNATE aTTaX,16,Orgless,8
548,2016-02-23,ALTERNATE aTTaX,12,Orgless,16
549,2016-02-23,mousesports,16,G2,10
550,2016-02-23,ENRAGE,11,XPC,16
551,2016-02-23,aZ,16,ENRAGE,13
552,2016-02-23,Virtus.pro,22,EnVyUs,20
553,2016-02-23,Galatics,11,k1ck,16
554,2016-02-23,k1ck,16,Galatics,9
555,2016-02-23,PANTERS,11,PENTA,16
556,2016-02-23,PANTERS,17,PENTA,19
557,2016-02-23,iNation,7,XPC,16
558,2016-02-23,Granted,2,ALTERNATE aTTaX,16
559,2016-02-23,ALTERNATE aTTaX,16,Granted,14
560,2016-02-23,Virtus.pro,13,EnVyUs,16
561,2016-02-23,aZ,2,iNation,16
562,2016-02-23,PANTERS,15,CSGL,19
563,2016-02-23,CSGL,16,PANTERS,12
564,2016-02-23,SK,5,E-frag.net,16
565,2016-02-23,SK,16,E-frag.net,11
566,2016-02-23,NiP,19,mousesports,15
567,2016-02-23,mousesports,14,NiP,16
568,2016-02-24,Splyce,16,Winterfox,2
569,2016-02-24,Winterfox,16,Splyce,3
570,2016-02-24,Obey.Alliance,16,Evil Nation,13
571,2016-02-24,Obey.Alliance,16,Evil Nation,10
572,2016-02-24,AGG,11,Selfless,16
573,2016-02-24,TSM,16,ex-Astral Authority,11
574,2016-02-24,ex-Astral Authority,7,TSM,16
575,2016-02-24,AGG,11,Selfless,16
576,2016-02-24,iNation,10,Deathtrap,16
577,2016-02-24,Natus Vincere,16,NiP,13
578,2016-02-24,RCTIC,16,Binary Dragons,12
579,2016-02-24,RCTIC,16,Binary Dragons,8
580,2016-02-24,ENCE,16,ALTERNATE aTTaX,14
581,2016-02-24,ALTERNATE aTTaX,17,ENCE,19
582,2016-02-24,CSGL,16,Gambit,13
583,2016-02-24,Gambit,8,CSGL,16
584,2016-02-24,XPC,5,Pixel,16
585,2016-02-24,gBots,19,AlienTech,15
586,2016-02-24,gBots,16,AlienTech,8
587,2016-02-24,NiP,16,Natus Vincere,10
588,2016-02-24,Pixel,14,Deathtrap,16
589,2016-02-24,Deathtrap,16,Pixel,12
590,2016-02-24,Virtus.pro,3,Astralis,16
591,2016-02-24,PENTA,7,CSGL,16
592,2016-02-24,CSGL,16,PENTA,14
593,2016-02-24,Platinium,13,GameAgents,16
594,2016-02-24,Platinium,16,GameAgents,9
595,2016-02-24,GameAgents,16,Platinium,12
596,2016-02-24,Virtus.pro,11,Astralis,16
597,2016-02-24,fnatic,16,SK,11
598,2016-02-24,E-frag.net,16,CSGL,9
599,2016-02-24,E-frag.net,6,CSGL,16
600,2016-02-24,Imp?rio Multim?dia,11,AlienTech,16
601,2016-02-24,AlienTech,16,Imp?rio Multim?dia,9
602,2016-02-24,fnatic,16,SK,6
603,2016-02-25,OpTic,16,AGG,6
604,2016-02-25,OpTic,16,AGG,7
605,2016-02-25,CLG,16,Selfless,12
606,2016-02-25,myRevenge,9,Bee's Money Crew,16
607,2016-02-25,Bee's Money Crew,16,myRevenge,10
608,2016-02-25,Selfless,16,CLG,6
609,2016-02-25,Liquid,14,NRG,16
610,2016-02-25,QuetzaL,3,CLG,16
611,2016-02-25,QuetzaL,8,CLG,16
612,2016-02-25,Liquid,16,NRG,12
613,2016-02-25,MVP project,16,T5,9
614,2016-02-25,T5,16,MVP project,13
615,2016-02-25,MVP project,16,T5,4
616,2016-02-25,Enso,6,Empire,16
617,2016-02-25,Empire,16,Enso,8
618,2016-02-25,k1ck,16,LDLC White,10
619,2016-02-25,k1ck,13,LDLC White,16
620,2016-02-25,k1ck,16,LDLC White,12
621,2016-02-25,fnatic,16,Astralis,2
622,2016-02-25,fnatic,16,Astralis,13
623,2016-02-25,Astralis,12,fnatic,16
624,2016-02-25,k1ck,16,nerdRage,12
625,2016-02-25,nerdRage,7,k1ck,16
626,2016-02-25,Torpedo,16,Orgless,8
627,2016-02-25,Torpedo,16,Orgless,3
628,2016-02-25,CPH Wolves,10,ENCE,16
629,2016-02-25,CPH Wolves,12,ENCE,16
630,2016-02-25,SK,10,Vexed,16
631,2016-02-26,Obey.Alliance,14,VexX,16
632,2016-02-26,VexX,11,Obey.Alliance,16
633,2016-02-26,VexX,7,Obey.Alliance,16
634,2016-02-26,MiTH,16,J2G,10
635,2016-02-26,MiTH,12,J2G,16
636,2016-02-26,J2G,16,MiTH,3
637,2016-02-26,Emc,14,Devcat,16
638,2016-02-26,Liquid,20,HellRaisers,22
639,2016-02-26,MVP.karnal,16,dream[S]cape,10
640,2016-02-26,dream[S]cape,7,MVP.karnal,16
641,2016-02-26,mousesports,16,YP,1
