date,team1,score1,team2,score2
2016-03-24 00:00:00,Iwku,16,GamersLeague,3
2016-03-24 00:00:00,BX3,16,the pickles,4
2016-03-24 00:00:00,Heroic,4,Tricked,16
2016-03-24 00:00:00,Epsilon,16,Flash,8
2016-03-24 00:00:00,Wicked,16,Ollebolle,5
2016-03-24 00:00:00,n0_0rg,9,Epiphany Bolt,16
2016-03-24 00:00:00,Isak,3,Fragsters,16
2016-03-24 00:00:00,eNergy,16,WDHA,7
2016-03-24 00:00:00,temporary,4,Bar r?v og sandaler,16
2016-03-24 00:00:00,Space Soldiers,16,eXtatus,3
2016-03-24 00:00:00,Dem Boyz,16,walkover,3
2016-03-24 00:00:00,naptoR.Factory,16,SesiBaren,4
2016-03-24 00:00:00,Quantaya,16,fLYVERNE,2
2016-03-24 00:00:00,Bananaboys,16,Recursive,2
2016-03-24 00:00:00,seven,16,FOXTROT,1
2016-03-24 00:00:00,Tog,3,aNimus,16
2016-03-24 00:00:00,Orbit,16,!nsurgents,5
2016-03-24 00:00:00,Skal du begraves?,16,@SNULLE,1
2016-03-24 00:00:00,Influx Nordic,2,Tekweb,16
2016-03-24 00:00:00,Isak,19,WarMonkeys,17
2016-03-24 00:00:00,404OrgNotFound,16,FOXTROT,14
2016-03-24 00:00:00,eNergy,14,OBEY,16
2016-03-24 00:00:00,Quantaya,16,Bananaboys,19
2016-03-24 00:00:00,Eastern Vikings,13,Fragsters,16
2016-03-24 00:00:00,Krydsild,16,WDHA,11
2016-03-24 00:00:00,Aquiver.BLU,19,hiddenOP,16
2016-03-24 00:00:00,malefiQ,16,BX3,9
2016-03-24 00:00:00,Preparation,16,SesiBaren,2
2016-03-24 00:00:00,naptoR.Factory,5,Fox Stratos,16
2016-03-24 00:00:00,Alpha,16,seven,6
2016-03-24 00:00:00,Epsilon,16,walkover,8
2016-03-24 00:00:00,Epiphany Bolt,16,temporary,9
2016-03-24 00:00:00,the pickles,2,WinOut,16
2016-03-24 00:00:00,Bar r?v og sandaler,8,n0_0rg,16
2016-03-24 00:00:00,Tekweb,5,Plantronics,16
2016-03-24 00:00:00,Heroic,16,aNimus,5
2016-03-24 00:00:00,Tricked,16,Tog,1
2016-03-24 00:00:00,Dem Boyz,5,Flash,16
2016-03-24 00:00:00,Orbit,16,Skal du begraves?,11
2016-03-24 00:00:00,Wicked,5,Publiclir.se,16
2016-03-24 00:00:00,Iwku,16,SvQmmerICruzares,2
2016-03-24 00:00:00,Aquiver.RED,16,Influx Nordic,0
2016-03-24 00:00:00,fLYVERNE,0,Recursive,16
2016-03-24 00:00:00,eXtatus,16,Inside,3
2016-03-24 00:00:00,Space Soldiers,16,Telos,1
2016-03-24 00:00:00,AfterClap,1,GamersLeague,16
2016-03-24 00:00:00,FAB,16,Ollebolle,0
2016-03-24 00:00:00,Vacuous Baboons,4,Playing Ducks,16
2016-03-24 00:00:00,@SNULLE,2,!nsurgents,16
2016-03-24 00:00:00,Insomnia,8,Third pupil,16
2016-03-24 00:00:00,Grimalkin,9,Young Money Militia,16
2016-03-24 00:00:00,Cloud9,16,Winterfox,3
2016-03-24 00:00:00,Kitfoxes,16,Wet Bandits,4
2016-03-24 00:00:00,NRG,18,Selfless,22
2016-03-24 00:00:00,NRG,5,Selfless,16
2016-03-24 00:00:00,Winterfox,7,Cloud9,16
