date,team1,score1,team2,score2
2016-03-25,Millenium fe,19,Area08 fe,17
2016-03-25,HellRaisers,16,Preparation,5
2016-03-25,HellRaisers,17,Preparation,19
2016-03-25,HellRaisers,16,Preparation,8
2016-03-25,E-frag.net,16,dignitas,6
2016-03-25,dignitas,16,E-frag.net,8
2016-03-25,dignitas,14,E-frag.net,16
2016-03-25,CLG Red,16,YP Ladies,13
2016-03-25,YP Ladies,4,CLG Red,16
2016-03-25,LDLC fe,16,Planetkey fe,3
2016-03-25,LDLC fe,16,Planetkey fe,9
2016-03-25,Secret fe,16,Millenium fe,5
2016-03-25,Millenium fe,8,Secret fe,16
2016-03-25,Karma,16,ALSEN fe,6
2016-03-25,Karma,16,ALSEN fe,5
